question_id	question_rank	document_title	paragraph_index
1	1	Tibet	10
1	2	Old_English	1
1	3	Bird_migration	5
1	4	Punjab,_Pakistan	21
1	5	Symbiosis	8
4	1	BeiDou_Navigation_Satellite_System	18
4	2	BeiDou_Navigation_Satellite_System	7
4	3	BeiDou_Navigation_Satellite_System	12
4	4	BeiDou_Navigation_Satellite_System	3
4	5	BeiDou_Navigation_Satellite_System	13
7	1	Beyoncé	39
7	2	Slavs	34
7	3	Beyoncé	56
7	4	Beyoncé	47
7	5	Beyoncé	16
10	1	Roman_Republic	46
10	2	Roman_Republic	47
10	3	Roman_Republic	45
10	4	Slavs	34
10	5	Roman_Republic	26
13	1	Mali	10
13	2	Chihuahua_(state)	37
13	3	Rajasthan	11
13	4	American_Idol	43
13	5	American_Idol	9
16	1	Atlantic_City,_New_Jersey	24
16	2	Richmond,_Virginia	14
16	3	Oklahoma_City	11
16	4	Richmond,_Virginia	31
16	5	Richmond,_Virginia	55
19	1	Xbox_360	10
19	2	Xbox_360	25
19	3	Xbox_360	12
19	4	Xbox_360	1
19	5	Xbox_360	5
22	1	Neptune	26
22	2	Neptune	28
22	3	Neptune	15
22	4	Neptune	13
22	5	Neptune	10
25	1	Asphalt	30
25	2	Slavs	34
25	3	Galicia_(Spain)	24
25	4	Pesticide	18
25	5	Nutrition	10
28	1	New_Delhi	49
28	2	New_Delhi	50
28	3	New_Delhi	46
28	4	Hyderabad	6
28	5	New_Delhi	29
31	1	Slavs	34
31	2	Pesticide	18
31	3	Bird_migration	5
31	4	Punjab,_Pakistan	21
31	5	Institute_of_technology	9
34	1	New_York_City	107
34	2	New_York_City	33
34	3	New_York_City	140
34	4	The_Times	50
34	5	New_York_City	11
37	1	Federal_Bureau_of_Investigation	26
37	2	Federal_Bureau_of_Investigation	23
37	3	Federal_Bureau_of_Investigation	22
37	4	Federal_Bureau_of_Investigation	31
37	5	Federal_Bureau_of_Investigation	19
40	1	Slavs	34
40	2	Chihuahua_(state)	7
40	3	Pesticide	18
40	4	Institute_of_technology	9
40	5	Bird_migration	5
43	1	Institute_of_technology	26
43	2	University	24
43	3	Slavs	34
43	4	Pub	6
43	5	Heresy	27
46	1	Richard_Feynman	30
46	2	Punjab,_Pakistan	21
46	3	Richard_Feynman	16
46	4	Richard_Feynman	1
46	5	Bird_migration	5
49	1	Pub	24
49	2	Pub	29
49	3	Slavs	34
49	4	Pesticide	18
49	5	Pub	60
52	1	BeiDou_Navigation_Satellite_System	18
52	2	BeiDou_Navigation_Satellite_System	12
52	3	BeiDou_Navigation_Satellite_System	1
52	4	BeiDou_Navigation_Satellite_System	7
52	5	BeiDou_Navigation_Satellite_System	33
55	1	Punjab,_Pakistan	21
55	2	Universal_Studios	12
55	3	Universal_Studios	37
55	4	Slavs	34
55	5	Universal_Studios	21
58	1	Slavs	34
58	2	Pesticide	18
58	3	Institute_of_technology	9
58	4	Bird_migration	5
58	5	Punjab,_Pakistan	21
61	1	Gramophone_record	29
61	2	Gramophone_record	28
61	3	Gramophone_record	21
61	4	Gramophone_record	19
61	5	Gramophone_record	34
64	1	Russian_Soviet_Federative_Socialist_Republic	20
64	2	Russian_Soviet_Federative_Socialist_Republic	17
64	3	Tajikistan	13
64	4	Russian_Soviet_Federative_Socialist_Republic	25
64	5	Russian_Soviet_Federative_Socialist_Republic	16
67	1	MP3	27
67	2	Symbiosis	8
67	3	Punjab,_Pakistan	21
67	4	Galicia_(Spain)	24
67	5	Pesticide	18
70	1	Modern_history	17
70	2	Slavs	34
70	3	Bird_migration	5
70	4	Brain	14
70	5	Symbiosis	8
73	1	Slavs	34
73	2	Pesticide	18
73	3	Bird_migration	5
73	4	Symbiosis	8
73	5	Punjab,_Pakistan	21
76	1	Miami	41
76	2	Film_speed	2
76	3	London	48
76	4	Internet_service_provider	9
76	5	Printed_circuit_board	6
79	1	Slavs	34
79	2	Symbiosis	8
79	3	Bird_migration	5
79	4	Punjab,_Pakistan	21
79	5	Pesticide	18
82	1	Slavs	34
82	2	Alps	17
82	3	Institute_of_technology	9
82	4	Pesticide	18
82	5	Punjab,_Pakistan	21
85	1	Slavs	34
85	2	Computer	44
85	3	Aspirated_consonant	14
85	4	Catalan_language	74
85	5	History_of_science	53
88	1	Slavs	34
88	2	Pesticide	18
88	3	Institute_of_technology	9
88	4	Punjab,_Pakistan	21
88	5	Bird_migration	5
91	1	Political_corruption	34
91	2	Slavs	34
91	3	Pesticide	18
91	4	Galicia_(Spain)	24
91	5	Bird_migration	5
94	1	Oklahoma	37
94	2	Southern_Europe	21
94	3	Greece	58
94	4	Serbo-Croatian	20
94	5	Sumer	16
97	1	Infection	6
97	2	Slavs	34
97	3	Pharmaceutical_industry	18
97	4	Diarrhea	14
97	5	Nutrition	8
100	1	Sino-Tibetan_relations_during_the_Ming_dynasty	4
